Sport,Game_Type,Entry_Key,Entry,Contest_Key,Contest_Date_EST,Place,Points,Winnings_Non_Ticket,Winnings_Ticket,Contest_Entries,Entry_Fee,Prize_Pool,Places_Paid
NBA,Classic,2972948174,NBA $4K Elbow Shot [Single Entry],118600746,11/18/21 19:30,1044,229.25,$0.00 ,$0.00 ,2378,$2.00 ,"$4,000.00 ",616
NBA,Classic,2972948152,NBA $4K Daily Dollar [Single Entry],118600747,11/18/21 19:30,1859,229.25,$0.00 ,$0.00 ,4756,$1.00 ,"$4,000.00 ",1103
NBA,Classic,2972956884,NBA Single Entry $5 Double Up,118600758,11/18/21 19:30,1799,215.75,$0.00 ,$0.00 ,2298,$5.00 ,"$10,000.00 ",1000
NBA,Classic,2972965095,NBA $2 jimmykim810 vs. NJGordo09,118654784,11/18/21 19:30,2,215.75,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2972965096,NBA $2 jimmykim810 vs. philliu08,118654785,11/18/21 19:30,1,215.75,$3.60 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2972965097,NBA $2 jimmykim810 vs. jordanpaul,118654786,11/18/21 19:30,2,215.75,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
CBB,Classic,2973025317,CBB $300 Quarter Jukebox [Just $0.25!] (3/4),118647620,11/18/21 18:30,470,233.25,$0.00 ,$0.00 ,1426,$0.25 ,$300.00 ,329
CBB,Classic,2973025316,CBB $300 Quarter Jukebox [Just $0.25!] (2/4),118647620,11/18/21 18:30,575,229.75,$0.00 ,$0.00 ,1426,$0.25 ,$300.00 ,329
CBB,Classic,2973025318,CBB $300 Quarter Jukebox [Just $0.25!] (4/4),118647620,11/18/21 18:30,1291,187.5,$0.00 ,$0.00 ,1426,$0.25 ,$300.00 ,329
CBB,Classic,2973025315,CBB $300 Quarter Jukebox [Just $0.25!] (1/4),118647620,11/18/21 18:30,1352,177,$0.00 ,$0.00 ,1426,$0.25 ,$300.00 ,329
CBB,Classic,2973805706,CBB $1 Double Up,118680817,11/18/21 18:30,13,229.75,$0.00 ,$0.00 ,23,$1.00 ,$20.00 ,10
NFL,Showdown Captain Mode,2972963211,NFL Showdown $10K Daily Dollar [Single Entry] (NE vs ATL),118464878,11/18/21 20:20,3475,66.27,$0.00 ,$0.00 ,11890,$1.00 ,"$10,000.00 ",3080
NFL,Showdown Captain Mode,2972963419,NFL Showdown $1 jimmykim810 vs. peeka (NE vs ATL),118654553,11/18/21 20:20,2,66.27,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2972963420,NFL Showdown $1 jimmykim810 vs. lmacs_sports (NE vs ATL),118654554,11/18/21 20:20,1,66.27,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NFL,Showdown Captain Mode,2972963421,NFL Showdown $1 jimmykim810 vs. GaryS8 (NE vs ATL),118654555,11/18/21 20:20,1,66.27,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2972956144,NBA Showdown $1 jimmykim810 vs. BDH23 (LAC vs MEM),118654567,11/18/21 20:00,2,189.5,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2972947817,NBA Showdown $1 jimmykim810 vs. olcz27 (GSW vs CLE),118654560,11/18/21 19:30,2,0,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Showdown Captain Mode,2973024127,CBB Showdown $1 50-50 [Top 50% Win] (CLEM vs TEMP),118653752,11/18/21 15:45,1,138.13,$1.80 ,$0.00 ,10,$1.00 ,$9.00 ,5
CBB,Classic,2971745209,CBB $1K And-One,118555029,11/17/21 18:00,918,186,$0.00 ,$0.00 ,1186,$1.00 ,"$1,000.00 ",285
CBB,Classic,2971754727,CBB $2 jimmykim810 vs. KeepCalmAndTiltOn,118607238,11/17/21 18:00,2,186,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
CBB,Classic,2971754728,CBB $2 jimmykim810 vs. cclow1,118607239,11/17/21 18:00,2,186,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
CBB,Classic,2971754729,CBB $2 jimmykim810 vs. AUNTJUDYISALOSER,118607240,11/17/21 18:00,2,186,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Showdown Captain Mode,2971753743,NBA Showdown $1 jimmykim810 vs. jfin4523 (DAL vs PHX),118606831,11/17/21 22:00,2,0,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Classic,2971744265,NBA $5K Elbow Shot [Single Entry],118515592,11/17/21 19:00,1946,269,$0.00 ,$0.00 ,2972,$2.00 ,"$5,000.00 ",685
NBA,Classic,2971737361,NBA $5K Daily Dollar [Single Entry],118515593,11/17/21 19:00,3571,269,$0.00 ,$0.00 ,5945,$1.00 ,"$5,000.00 ",1543
NBA,Classic,2971730005,NBA Single Entry $5 Double Up,118515604,11/17/21 19:00,2565,244.25,$0.00 ,$0.00 ,2758,$5.00 ,"$12,000.00 ",1200
NBA,Classic,2971729610,NBA $2 jimmykim810 vs. RoYzH,118606869,11/17/21 19:00,2,244.25,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2971729611,NBA $2 jimmykim810 vs. shiposki75,118606870,11/17/21 19:00,2,244.25,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Classic,2971729612,NBA $2 jimmykim810 vs. NJGordo09,118606871,11/17/21 19:00,2,244.25,$0.00 ,$0.00 ,2,$2.00 ,$3.60 ,1
NBA,Showdown Captain Mode,2971729421,NBA Showdown $1 jimmykim810 vs. Snip_dang3 (SAC vs MIN),118606826,11/17/21 20:00,1,197.5,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2971743476,NBA Showdown $1 jimmykim810 vs. dhmg87 (LAL vs MIL),118606823,11/17/21 19:30,1,255.13,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2971736052,NBA Showdown $1 jimmykim810 vs. TexasTT (WAS vs CHA),118606815,11/17/21 19:00,2,163.75,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Showdown Captain Mode,2970598963,NBA Showdown $1 jimmykim810 vs. Maccabi17 (SAS vs LAC),118522976,11/16/21 22:30,1,206.13,$1.80 ,$0.00 ,2,$1.00 ,$1.80 ,1
NBA,Classic,2970170843,NBA $5K Daily Dollar [Single Entry],118438390,11/16/21 19:30,4620,191.25,$0.00 ,$0.00 ,5945,$1.00 ,"$5,000.00 ",1543
NBA,Classic,2970192225,NBA $3 jimmykim810 vs. RoYzH,118504968,11/16/21 19:30,1,239.5,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
NBA,Classic,2970192226,NBA $3 jimmykim810 vs. shotym2000,118504969,11/16/21 19:30,1,239.5,$5.40 ,$0.00 ,2,$3.00 ,$5.40 ,1
CBB,Classic,2970190138,CBB $1 jimmykim810 vs. sboynton10,118505028,11/16/21 19:00,2,206.25,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Classic,2970190139,CBB $1 jimmykim810 vs. sboynton10,118505029,11/16/21 19:00,2,206.25,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Classic,2970190140,CBB $1 jimmykim810 vs. sboynton10,118505030,11/16/21 19:00,2,206.25,$0.00 ,$0.00 ,2,$1.00 ,$1.80 ,1
CBB,Classic,2970624192,CBB $400 And-One,118516024,11/16/21 19:00,242,206.25,$0.00 ,$0.00 ,475,$1.00 ,$400.00 ,109
NBA,Showdown Captain Mode,2970624416,NBA Showdown $2K And-One (GSW vs BKN),118509549,11/16/21 19:30,342,190.38,$1.50 ,$0.00 ,2378,$1.00 ,"$2,000.00 ",616
NBA,Showdown Captain Mode,2967619702,NBA Showdown $8K And-One (CHI vs LAL),118382330,11/15/21 22:30,3305,219,$0.00 ,$0.00 ,9512,$1.00 ,"$8,000.00 ",2247
